,Year,Age,Female,Male,Total,X.30,X.31,X.37,X.38
319,1753,62,NA,NA,7640.86,NA,NA,NA,NA
320,1753,63,NA,NA,7387.51,NA,NA,NA,NA
321,1753,64,NA,NA,6849.7,NA,NA,NA,NA
322,1753,65,NA,NA,6202.66,NA,NA,NA,NA
323,1753,66,NA,NA,5874.84,NA,NA,NA,NA
324,1753,67,NA,NA,5638.97,NA,NA,NA,NA
325,1753,68,NA,NA,5459.73,NA,NA,NA,NA
326,1753,69,NA,NA,5337.3,NA,NA,NA,NA
327,1753,70,NA,NA,5201.8,NA,NA,NA,NA
328,1753,71,NA,NA,4647.15,NA,NA,NA,NA
329,1753,72,NA,NA,3989.38,NA,NA,NA,NA
330,1753,73,NA,NA,3364.27,NA,NA,NA,NA
331,1753,74,NA,NA,2770.4,NA,NA,NA,NA
332,1753,75,NA,NA,2216.65,NA,NA,NA,NA
333,1753,76,NA,NA,2008.85,NA,NA,NA,NA
334,1753,77,NA,NA,1870.73,NA,NA,NA,NA
335,1753,78,NA,NA,1761.65,NA,NA,NA,NA
336,1753,79,NA,NA,1703.62,NA,NA,NA,NA
337,1753,80,NA,NA,1688.84,NA,NA,NA,NA
338,1753,81,NA,NA,1475.95,NA,NA,NA,NA
339,1753,82,NA,NA,1266.01,NA,NA,NA,NA
340,1753,83,NA,NA,1068.16,NA,NA,NA,NA
341,1753,84,NA,NA,NA,NA,NA,NA,NA
342,1753,85,NA,NA,NA,NA,NA,NA,NA
343,1753,86,NA,NA,NA,NA,NA,NA,NA
344,1753,87,NA,NA,NA,NA,NA,NA,NA
345,1753,88,NA,NA,NA,NA,NA,NA,NA
346,1753,89,NA,NA,NA,NA,NA,NA,NA
347,1753,90,NA,NA,NA,NA,NA,NA,NA
348,1753,91,NA,NA,NA,NA,NA,NA,NA
349,1753,92,NA,NA,NA,NA,NA,NA,NA
350,1753,93,NA,NA,NA,NA,NA,NA,NA
351,1753,94,NA,NA,NA,NA,NA,NA,NA
352,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,1753,95,NA,NA,NA,NA,NA,NA,NA
354,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,1753,96,NA,NA,NA,NA,NA,NA,NA
356,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,1753,97,NA,NA,NA,NA,NA,NA,NA
358,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,1753,98,NA,NA,NA,NA,NA,NA,NA
360,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,1753,99,NA,NA,NA,NA,NA,NA,NA
362,27.66,NA,NA,NA,NA,NA,NA,NA,NA
363,1753,NA,NA,NA,NA,NA,NA,NA,NA
364,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,1753,NA,NA,NA,NA,NA,NA,NA,NA
366,12.82,NA,NA,NA,NA,NA,NA,NA,NA
367,1753,NA,NA,NA,NA,NA,NA,NA,NA
